"c_city","c_country","ipc_class_symbol","name_0","name_1","city","coordinates","lng","lat","filing_date"
1,1,"A01G  23/00","China","Liaoning","Shenyang","0101000020E61000002506819543DB5E4083C0CAA145E64440",123.426,41.799,"2008-07-11"
1,1,"A01G  23/00","China","Liaoning","Shenyang","0101000020E61000002506819543DB5E4083C0CAA145E64440",123.426,41.799,"2008-12-12"
1,1,"A01G  23/00","China","Liaoning","Tieling","0101000020E6100000AE47E17A14EE5E40401361C3D31B4540",123.72,42.2174,"2008-01-29"
1,1,"A01G  23/00","China","Nei Mongol","Hohhot","0101000020E61000003D0AD7A370ED5B40C7BAB88D06684440",111.71,40.8127,"2008-02-04"
1,1,"A01G  23/00","China","Shaanxi","Xi'an","0101000020E6100000D578E92631405B4080B74082E21F4140",109.003,34.2491,"2008-04-17"
1,1,"A01G  23/00","China","Shandong","Dongying","0101000020E6100000894160E5D0AA5D40022B8716D9B64240",118.669,37.4285,"2008-07-30"
1,1,"A01G  23/00","China","Shandong","Tai An","0101000020E61000006891ED7C3F455D4054E3A59BC4184240",117.082,36.1935,"2008-10-28"
1,1,"A01G  23/00","China","Shanghai","Shanghai","0101000020E6100000CBA145B6F35D5E40D34D621058393F40",121.468,31.224,"2008-03-03"
1,1,"A01G  23/00","China","Shanghai","Shanghai","0101000020E6100000CBA145B6F35D5E40D34D621058393F40",121.468,31.224,"2008-04-10"
1,1,"A01G  23/00","China","Tianjin","Tianjin","0101000020E610000014AE47E17A4C5D4052B81E85EB894340",117.195,39.0775,"2008-04-18"
1,1,"A01G  23/00","China","Yunnan","Chuxiong","0101000020E6100000C520B072686159407DD0B359F5093940",101.522,25.0389,"2008-05-16"
2,2,"A01G  23/00","China","Yunnan","Chuxiong","0101000020E6100000C520B072686159407DD0B359F5093940",101.522,25.0389,"2008-05-28"
1,1,"A01G  23/00","China","Yunnan","Chuxiong","0101000020E6100000C520B072686159407DD0B359F5093940",101.522,25.0389,"2008-06-16"
1,1,"A01G  23/00","China","Yunnan","Chuxiong","0101000020E6100000C520B072686159407DD0B359F5093940",101.522,25.0389,"2008-07-18"
1,1,"A01G  23/00","China","Yunnan","Lijiang","0101000020E610000066666666660E5940FFB27BF2B0E03A40",100.225,26.8777,"2008-06-02"
3,3,"A01G  23/00","China","Zhejiang","Shaoxing","0101000020E6100000DBF97E6ABC245E40F5B9DA8AFD053E40",120.574,30.0234,"2008-06-12"
3,3,"A01G  23/00","China","Zhejiang","Shaoxing","0101000020E6100000DBF97E6ABC245E40F5B9DA8AFD053E40",120.574,30.0234,"2008-12-11"
1,1,"A01G  23/00","China","Zhejiang","Shaoxing","0101000020E61000001D5A643BDF1F5E406DE7FBA9F1223E40",120.498,30.1365,"2008-04-25"
1,1,"A01G  23/00","China","Zhejiang","Zhoushan","0101000020E61000006666666666865E402FDD240681053E40",122.1,30.0215,"2008-10-22"
1,1,"A01G  23/00","Finland","Eastern Finland","Kangasniemi","0101000020E6100000F1F44A5986F83A403EE8D9ACFAFC4E40",26.9708,61.9764,"2008-05-15"
2,2,"A01G  23/00","Germany","Hessen","Diemelstadt","0101000020E6100000DF37BEF6CC0222400612143FC6BC4940",9.00547,51.4748,"2008-12-18"
1,1,"A01G  23/00","Germany","Niedersachsen","Wolfenbüttel","0101000020E6100000C4B12E6EA3212540F6285C8FC2154A40",10.5657,52.17,"2008-12-17"
